experiment,tag,bin_size,Hz,day
stationarity 3 - 22-12-2023,46,0.145094594439945,6.89205551633355,22-12-2023
stationarity 3 - 22-12-2023,47,0.143935599352678,6.94755157513015,22-12-2023
stationarity 3 - 22-12-2023,48,0.144392280219059,6.92557800515989,22-12-2023
stationarity 3 - 22-12-2023,49,0.14419175625702,6.93520923774252,22-12-2023
stationarity 3 - 22-12-2023,56,0.142478761208796,7.01858993941243,22-12-2023
stationarity 3 - 22-12-2023,57,0.147133455198033,6.79655078210497,22-12-2023
stationarity 3 - 22-12-2023,58,0.142480530992018,7.01850275990352,22-12-2023
stationarity 3 - 22-12-2023,59,0.144427289012519,6.92389926334021,22-12-2023
stationarity 3 - 22-12-2023,60,0.148834412677987,6.71887624647375,22-12-2023
stationarity 3 - 22-12-2023,61,0.144846084630779,6.90388009140224,22-12-2023
stationarity 3 - 22-12-2023,62,0.143860589616314,6.9511740683607,22-12-2023
stationarity 3 - 22-12-2023,63,0.144418834036241,6.92430462185462,22-12-2023
stationarity 3 - 22-12-2023,64,0.143789991083904,6.954586981068,22-12-2023
stationarity 3 - 22-12-2023,65,0.144911791160233,6.90074970430992,22-12-2023
stationarity 3 - 22-12-2023,66,,,22-12-2023
stationarity 3 - 22-12-2023,72,0.151266917474288,6.61083081943531,22-12-2023
stationarity 3 - 22-12-2023,73,0.0951725767295693,10.5072283882938,22-12-2023
stationarity 3 - 22-12-2023,80,0.151109859305368,6.61770187992276,22-12-2023
stationarity 3 - 22-12-2023,81,0.312976284460588,3.19513026913043,22-12-2023
stationarity 3 - 22-12-2023,82,0.146711030002062,6.81612009666857,22-12-2023
stationarity 3 - 22-12-2023,83,0.145535262109574,6.87118699279285,22-12-2023
stationarity 3 - 22-12-2023,84,0.148290322563066,6.7435283888786,22-12-2023
stationarity 3 - 22-12-2023,85,0.146677595452967,6.81767380295415,22-12-2023
stationarity 3 - 22-12-2023,86,0.14610798562287,6.84425287048426,22-12-2023
stationarity 3 - 22-12-2023,87,0.147301006404392,6.7888198757764,22-12-2023
stationarity 3 - 22-12-2023,88,0.145986400727024,6.84995311220717,22-12-2023
stationarity 4 - 22-12-2023,1,0.1442113617807,6.9342663965734,22-12-2023
stationarity 4 - 22-12-2023,2,0.146684523747892,6.81735178633235,22-12-2023
stationarity 4 - 22-12-2023,3,0.144010016635583,6.94396142270089,22-12-2023
stationarity 4 - 22-12-2023,4,0.144406197658136,6.92491053858627,22-12-2023
stationarity 4 - 22-12-2023,5,0.144626152585358,6.91437877675548,22-12-2023
stationarity 4 - 22-12-2023,6,0.144532271622612,6.91887001272005,22-12-2023
stationarity 4 - 22-12-2023,7,0.144682886016449,6.91166749249328,22-12-2023
stationarity 4 - 22-12-2023,8,0.145594936684717,6.86837071927494,22-12-2023
stationarity 4 - 22-12-2023,9,0.145512647612702,6.87225486173278,22-12-2023
stationarity 4 - 22-12-2023,16,0.146140558854894,6.84272735670132,22-12-2023
stationarity 4 - 22-12-2023,17,0.144936134434548,6.89959066385611,22-12-2023
stationarity 4 - 22-12-2023,24,0.148185407654922,6.74830279057363,22-12-2023
stationarity 4 - 22-12-2023,25,0.14457753557971,6.91670387097357,22-12-2023
stationarity 4 - 22-12-2023,32,0.142386457528288,7.02313982213742,22-12-2023
stationarity 4 - 22-12-2023,33,0.143847500085831,6.95180659659238,22-12-2023
stationarity 4 - 22-12-2023,34,0.146143220238766,6.84260274521265,22-12-2023
stationarity 4 - 22-12-2023,35,0.143969115112381,6.94593419720201,22-12-2023
stationarity 4 - 22-12-2023,36,0.146601529271297,6.82121124500296,22-12-2023
stationarity 4 - 22-12-2023,37,0.143781666755676,6.95498962116825,22-12-2023
stationarity 4 - 22-12-2023,38,0.144417573418079,6.9243650639737,22-12-2023
stationarity 4 - 22-12-2023,39,0.148819672228243,6.71954174489991,22-12-2023
stationarity 4 - 22-12-2023,40,0.145935702243231,6.85233280567153,22-12-2023
stationarity 4 - 22-12-2023,41,0.144545226041196,6.91824993040582,22-12-2023
stationarity 4 - 22-12-2023,42,0.143419650273954,6.97254524111474,22-12-2023
stationarity 4 - 22-12-2023,43,0.144906800900258,6.90098735040266,22-12-2023
stationarity 4 - 22-12-2023,44,0.145672297356902,6.86472320505777,22-12-2023
stationarity 4 - 22-12-2023,45,0.14526094270475,6.88416295103186,22-12-2023
stationarity 4 - 22-12-2023,46,0.144414225781812,6.92452557624655,22-12-2023
stationarity 4 - 22-12-2023,47,0.145381634237391,6.87844792256992,22-12-2023
stationarity 4 - 22-12-2023,48,0.144094402628734,6.93989483114447,22-12-2023
stationarity 4 - 22-12-2023,49,0.14631271200665,6.83467612817232,22-12-2023
stationarity 4 - 22-12-2023,50,0.143708576072166,6.95852695317107,22-12-2023
stationarity 4 - 22-12-2023,51,0.145731418922141,6.86193826558613,22-12-2023
stationarity 4 - 22-12-2023,52,0.148193298951047,6.74794344331541,22-12-2023
stationarity 4 - 22-12-2023,53,0.145109335648302,6.89135537374162,22-12-2023
stationarity 4 - 22-12-2023,54,0.145655405279752,6.86551932679295,22-12-2023
stationarity 4 - 22-12-2023,55,0.145583122390232,6.86892809813163,22-12-2023
stationarity 4 - 22-12-2023,56,0.144458123986645,6.92242133846656,22-12-2023
stationarity 4 - 22-12-2023,57,0.145734797257024,6.86177919633263,22-12-2023
stationarity 4 - 22-12-2023,64,0.145016806666591,6.89575245094942,22-12-2023
stationarity 4 - 22-12-2023,65,0.145151514998991,6.88935282561087,22-12-2023
stationarity 4 - 22-12-2023,72,0.14974826388061,6.67787374681865,22-12-2023
stationarity 4 - 22-12-2023,73,0.0973502538060308,10.2721868809144,22-12-2023
stationarity 4 - 22-12-2023,80,0.151341228108657,6.60758481014862,22-12-2023
